127.0.0.1 - - [14/Jun/2022:08:45:37 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:45:38 +0530] "GET /check/ HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:45:38 +0530] "GET /check/bgimages/che.PNG HTTP/1.1" 200 664721
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:45:39 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:45 +0530] "GET /check/maincharitylogin.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:45 +0530] "GET /check/Local/char3.jpg HTTP/1.1" 200 42289
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:45 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:45 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:45 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:49 +0530] "GET /check/charitylogin.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:49 +0530] "GET /check/Local/800px_COLOURBOX36656707.jpg HTTP/1.1" 200 55184
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:49 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:49 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:49 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:54 +0530] "GET /check/publiclogin.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:54 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:54 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:50:54 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:00 +0530] "GET /check/banklogin.jsp HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:00 +0530] "GET /check/Local/char4.jpg HTTP/1.1" 200 104931
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:00 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:00 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:00 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:14 +0530] "POST /check/logina.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:14 +0530] "GET /check/maincharity.jsp HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:14 +0530] "GET /check/bgimages/c3.jpg HTTP/1.1" 200 82214
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:20 +0530] "GET /check/publiclist.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:24 +0530] "GET /check/approved.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:24 +0530] "GET /check/Local/paolo-bendandi-CU_tgif9PTg-unsplash.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:24 +0530] "GET /check/Local/ctslogo.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:24 +0530] "GET /check/Local/pexels-burst-373883.jpg HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:24 +0530] "GET /check/Local/charity-810x476.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:29 +0530] "GET /check/verified.jsp?id=13 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:08:51:29 +0530] "GET /check/approved.jsp?valid HTTP/1.1" 200 4160
